順,順,大学名,タイム,結果
1,1,駒澤大学,28:42:57,2位
2,2,青山学院大学,28:48:09,1位
3,3,明治大学,28:50:14,4位
4,4,山梨学院大学,28:51:74,9位
5,5,早稲田大学,28:56:97,5位
6,6,東洋大学,28:58:79,3位
7,7,東海大学,29:01:15,6位
8,8,日本大学,29:15:04,13位
9,9,帝京大学,29:17:35,11位
10,10,順天堂大学,29:19:37,12位
11,11,大東文化大学,29:20:84,10位
12,12,日本体育大学,29:21:58,15位
13,13,神奈川大学,29:21:94,17位
14,14,中央学院大学,29:22:19,8位
15,15,國學院大學,29:23:69,14位
16,16,城西大学,29:24:93,7位
17,17,中央大学,29:25:08,19位
18,18,上武大学,29:34:63,18位
19,19,創価大学,29:35:81,20位
20,20,拓殖大学,29:46:66,16位
21,21,関東学生連合,29:10:37,参考
