"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,青山学院大学,11時間04分10秒,1,5時間33分45秒,1,5時間30分25秒
2,東洋大学,11時間11分31秒,4,5時間36分25秒,2,5時間35分06秒
3,早稲田大学,11時間12分26秒,2,5時間34分18秒,9,5時間38分08秒
4,順天堂大学,11時間12分42秒,3,5時間36分09秒,6,5時間36分33秒
5,神奈川大学,11時間14分59秒,6,5時間38分11秒,7,5時間36分48秒
6,中央学院大学,11時間15分25秒,7,5時間38分20秒,8,5時間37分05秒
7,日本体育大学,11時間15分39秒,13,5時間40分29秒,3,5時間35分10秒
8,法政大学,11時間15分56秒,12,5時間40分18秒,5,5時間35分38秒
9,駒澤大学,11時間16分13秒,5,5時間37分46秒,11,5時間38分27秒
10,東海大学,11時間17分00秒,15,5時間41分44秒,4,5時間35分16秒
11,帝京大学,11時間20分24秒,11,5時間40分06秒,12,5時間40分18秒
12,創価大学,11時間20分37秒,9,5時間39分25秒,13,5時間41分12秒
13,大東文化大学,11時間23分45秒,18,5時間45分29秒,10,5時間38分16秒
14,拓殖大学,11時間24分22秒,14,5時間40分36秒,15,5時間43分46秒
15,上武大学,11時間24分45秒,8,5時間39分13秒,17,5時間45分32秒
16,國學院大学,11時間28分45秒,19,5時間46分52秒,14,5時間41分53秒
17,山梨学院大学,11時間29分17秒,16,5時間41分56秒,18,5時間47分21秒
18,明治大学,11時間29分17秒,17,5時間44分42秒,16,5時間44分35秒
19,日本大学,11時間30分38秒,10,5時間39分55秒,19,5時間50分43秒
20,国士舘大学,11時間49分18秒,20,5時間54分57秒,20,5時間54分21秒
参考,関東学生連合,11時間31分29秒,参考,5時間49分45秒,参考,5時間41分44秒
